title,revenue,budget,genres,release_date,original_language,profit
Inception,825532764,160000000,"Action, Science Fiction, Adventure",7/15/2010,en,665532764
Interstellar,701729206,165000000,"Adventure, Drama, Science Fiction",11/5/2014,en,536729206
The Dark Knight,1004558444,185000000,"Drama, Action, Crime, Thriller",7/16/2008,en,819558444
Avatar,2923706026,237000000,"Action, Adventure, Fantasy, Science Fiction",12/15/2009,en,2686706026
The Avengers,1518815515,220000000,"Science Fiction, Action, Adventure",4/25/2012,en,1298815515
Deadpool,783100000,58000000,"Action, Adventure, Comedy",2/9/2016,en,725100000
Avengers: Infinity War,2052415039,300000000,"Adventure, Action, Science Fiction",4/25/2018,en,1752415039
Fight Club,100853753,63000000,Drama,10/15/1999,en,37853753
Guardians of the Galaxy,772776600,170000000,"Action, Science Fiction, Adventure",7/30/2014,en,602776600
Pulp Fiction,213900000,8500000,"Thriller, Crime",9/10/1994,en,205400000
Forrest Gump,677387716,55000000,"Comedy, Drama, Romance",6/23/1994,en,622387716
Harry Potter and the Philosopher's Stone,976475550,125000000,"Adventure, Fantasy",11/16/2001,en,851475550
Iron Man,585174222,140000000,"Action, Science Fiction, Adventure",4/30/2008,en,445174222
Django Unchained,425368238,100000000,"Drama, Western",12/25/2012,en,325368238
The Shawshank Redemption,28341469,25000000,"Drama, Crime",9/23/1994,en,3341469
Avengers: Endgame,2800000000,356000000,"Adventure, Science Fiction, Action",4/24/2019,en,2444000000
The Matrix,463517383,63000000,"Action, Science Fiction",3/30/1999,en,400517383
Titanic,2264162353,200000000,"Drama, Romance",11/18/1997,en,2064162353
Joker,1074458282,55000000,"Crime, Thriller, Drama",10/1/2019,en,1019458282
The Lord of the Rings: The Fellowship of the Ring,871368364,93000000,"Adventure, Fantasy, Action",12/18/2001,en,778368364
The Lord of the Rings: The Return of the King,1118888979,94000000,"Adventure, Fantasy, Action",12/1/2003,en,1024888979
Shutter Island,294800000,80000000,"Drama, Thriller, Mystery",2/14/2010,en,214800000
The Wolf of Wall Street,392000000,100000000,"Crime, Drama, Comedy",12/25/2013,en,292000000
Avengers: Age of Ultron,1405403694,365000000,"Action, Adventure, Science Fiction",4/22/2015,en,1040403694
Captain America: Civil War,1155046416,250000000,"Adventure, Action, Science Fiction",4/27/2016,en,905046416
The Dark Knight Rises,1081041287,250000000,"Action, Crime, Drama, Thriller",7/17/2012,en,831041287
Iron Man 3,1215577205,200000000,"Action, Adventure, Science Fiction",4/18/2013,en,1015577205
Black Panther,1349926083,200000000,"Action, Adventure, Science Fiction",2/13/2018,en,1149926083
Doctor Strange,676343174,180000000,"Action, Adventure, Fantasy",10/25/2016,en,496343174
Mad Max: Fury Road,378858340,150000000,"Action, Adventure, Science Fiction",5/13/2015,en,228858340
Inglourious Basterds,321457747,70000000,"Drama, Thriller, War",8/19/2009,en,251457747
The Hunger Games,694394724,75000000,"Science Fiction, Adventure, Fantasy",3/12/2012,en,619394724
Spider-Man: Homecoming,880166924,175000000,"Action, Adventure, Science Fiction, Drama",7/5/2017,en,705166924
Harry Potter and the Chamber of Secrets,876688482,100000000,"Adventure, Fantasy",11/13/2002,en,776688482
Guardians of the Galaxy Vol. 2,863756051,200000000,"Science Fiction, Adventure, Action",4/19/2017,en,663756051
The Lord of the Rings: The Two Towers,926287400,79000000,"Adventure, Fantasy, Action",12/18/2002,en,847287400
Captain America: The First Avenger,370569774,140000000,"Action, Adventure, Science Fiction",7/22/2011,en,230569774
Suicide Squad,746846894,175000000,"Action, Adventure, Fantasy",8/3/2016,en,571846894
Harry Potter and the Prisoner of Azkaban,789804554,130000000,"Adventure, Fantasy",5/31/2004,en,659804554
Thor,449326618,150000000,"Adventure, Fantasy, Action",4/21/2011,en,299326618
Iron Man 2,623933331,200000000,"Adventure, Action, Science Fiction",4/28/2010,en,423933331
Batman Begins,374218673,150000000,"Action, Crime, Drama",6/10/2005,en,224218673
Thor: Ragnarok,855301806,180000000,"Action, Adventure, Science Fiction",10/2/2017,en,675301806
Inside Out,857611174,175000000,"Animation, Family, Adventure, Drama, Comedy",6/9/2015,en,682611174
Jurassic World,1671537444,150000000,"Action, Adventure, Science Fiction, Thriller",6/6/2015,en,1521537444
Se7en,327311859,33000000,"Crime, Mystery, Thriller",9/22/1995,en,294311859
Harry Potter and the Goblet of Fire,895921036,150000000,"Adventure, Fantasy",11/16/2005,en,745921036
Pirates of the Caribbean: The Curse of the Black Pearl,655011224,140000000,"Adventure, Fantasy, Action",7/9/2003,en,515011224
Harry Potter and the Deathly Hallows: Part 2,1341511219,125000000,"Fantasy, Adventure",7/12/2011,en,1216511219
Star Wars,775398007,11000000,"Adventure, Action, Science Fiction",5/25/1977,en,764398007
Wonder Woman,822854286,149000000,"Action, Adventure, Fantasy",5/30/2017,en,673854286
Up,735099082,175000000,"Animation, Comedy, Family, Adventure",5/28/2009,en,560099082
Ant-Man,519311965,130000000,"Science Fiction, Action, Adventure",7/14/2015,en,389311965
The Godfather,245066411,6000000,"Drama, Crime",3/14/1972,en,239066411
The Martian,630600000,108000000,"Drama, Adventure, Science Fiction",9/30/2015,en,522600000
Back to the Future,381109762,19000000,"Adventure, Comedy, Science Fiction",7/3/1985,en,362109762
Star Wars: The Force Awakens,2068223624,245000000,"Adventure, Action, Science Fiction",12/15/2015,en,1823223624
Spider-Man: No Way Home,1921847111,200000000,"Action, Adventure, Science Fiction",12/15/2021,en,1721847111
Harry Potter and the Order of the Phoenix,938212738,150000000,"Adventure, Fantasy",7/8/2007,en,788212738
Harry Potter and the Half-Blood Prince,933959197,250000000,"Adventure, Fantasy",7/15/2009,en,683959197
Logan,619021436,97000000,"Action, Drama, Science Fiction",2/28/2017,en,522021436
Finding Nemo,940335536,94000000,"Animation, Family",5/30/2003,en,846335536
It,701800000,40000000,"Horror, Fantasy",9/6/2017,en,661800000
John Wick,88761661,20000000,"Action, Thriller",10/22/2014,en,68761661
Fantastic Beasts and Where to Find Them,809342332,180000000,"Fantasy, Adventure, Family",11/16/2016,en,629342332
Harry Potter and the Deathly Hallows: Part 1,954305868,250000000,"Adventure, Fantasy",11/17/2010,en,704305868
Coco,800526015,175000000,"Family, Animation, Fantasy, Music, Comedy, Adventure",10/27/2017,en,625526015
Captain America: The Winter Soldier,714766572,170000000,"Action, Adventure, Science Fiction",3/20/2014,en,544766572
Spider-Man,821708551,139000000,"Fantasy, Action",5/1/2002,en,682708551
WALL·E,521311860,180000000,"Animation, Family, Science Fiction",6/22/2008,en,341311860
Gone Girl,369330363,61000000,"Mystery, Thriller, Drama",10/1/2014,en,308330363
The Hobbit: An Unexpected Journey,1021103568,250000000,"Adventure, Fantasy, Action",12/12/2012,en,771103568
"Monsters, Inc.",579707738,115000000,"Animation, Comedy, Family",11/1/2001,en,464707738
Toy Story,394400000,30000000,"Animation, Adventure, Family, Comedy",10/30/1995,en,364400000
The Revenant,532950503,135000000,"Western, Drama, Adventure",12/25/2015,en,397950503
Batman v Superman: Dawn of Justice,873637528,250000000,"Action, Adventure, Fantasy",3/23/2016,en,623637528
The Lion King,763455561,45000000,"Family, Animation, Drama",6/24/1994,en,718455561
Gladiator,465361176,103000000,"Action, Drama, Adventure",5/4/2000,en,362361176
The Truman Show,264118201,60000000,"Comedy, Drama",6/4/1998,en,204118201
The Incredibles,631442092,92000000,"Action, Adventure, Animation, Family",10/27/2004,en,539442092
Arrival,203388186,47000000,"Drama, Science Fiction, Mystery",11/10/2016,en,156388186
Thor: The Dark World,644783140,170000000,"Action, Adventure, Fantasy",10/30/2013,en,474783140
The Amazing Spider-Man,757930663,215000000,"Action, Adventure, Fantasy",6/23/2012,en,542930663
Split,278454358,9000000,"Horror, Thriller",1/19/2017,en,269454358
Deadpool 2,785896609,110000000,"Action, Comedy, Adventure",5/10/2018,en,675896609
The Shining,44781695,19000000,"Horror, Thriller",5/23/1980,en,25781695
Kill Bill: Vol. 1,180906076,30000000,"Action, Crime",10/10/2003,en,150906076
The Hunger Games: Catching Fire,865011746,130000000,"Adventure, Action, Science Fiction",11/15/2013,en,735011746
Get Out,255407969,4500000,"Mystery, Thriller, Horror",2/24/2017,en,250907969
The Imitation Game,233555708,14000000,"History, Drama, Thriller, War",11/14/2014,en,219555708
Bohemian Rhapsody,903992901,52000000,"Music, Drama, History",10/24/2018,en,851992901
The Green Mile,286801374,60000000,"Fantasy, Drama, Crime",12/10/1999,en,226801374
The Maze Runner,348319861,34000000,"Action, Mystery, Science Fiction, Thriller",9/10/2014,en,314319861
The Hangover,469310836,35000000,Comedy,6/2/2009,en,434310836
The Empire Strikes Back,538400000,18000000,"Adventure, Action, Science Fiction",5/20/1980,en,520400000
Shrek,487853320,60000000,"Animation, Comedy, Fantasy, Adventure, Family",5/18/2001,en,427853320
Ratatouille,623726000,150000000,"Animation, Comedy, Family, Fantasy",6/28/2007,en,473726000
Kingsman: The Secret Service,414351546,81000000,"Crime, Comedy, Action, Adventure",12/13/2014,en,333351546
La La Land,447407695,30000000,"Comedy, Drama, Romance, Music",11/29/2016,en,417407695
Frozen,1274219009,150000000,"Animation, Family, Adventure, Fantasy",11/20/2013,en,1124219009
Dunkirk,527000000,150000000,"War, Action, Drama",7/19/2017,en,377000000
Zootopia,1023784195,150000000,"Animation, Adventure, Family, Comedy",2/11/2016,en,873784195
Lucy,458863600,40000000,"Action, Science Fiction",7/25/2014,en,418863600
Jurassic Park,920100000,63000000,"Adventure, Science Fiction",6/11/1993,en,857100000
The Silence of the Lambs,272742922,19000000,"Crime, Drama, Thriller",2/14/1991,en,253742922
Beauty and the Beast,1266115964,160000000,"Family, Fantasy, Romance",3/16/2017,en,1106115964
Pirates of the Caribbean: Dead Man's Chest,1065659812,200000000,"Adventure, Fantasy, Action",7/6/2006,en,865659812
Big Hero 6,657827828,165000000,"Adventure, Family, Animation, Action, Comedy",10/24/2014,en,492827828
Now You See Me,351723989,75000000,"Thriller, Crime",5/29/2013,en,276723989
The Hunger Games: Mockingjay - Part 1,755356711,125000000,"Science Fiction, Adventure, Thriller",11/19/2014,en,630356711
Venom,856085151,116000000,"Science Fiction, Action",9/28/2018,en,740085151
The Prestige,109676311,40000000,"Drama, Mystery, Science Fiction",10/19/2006,en,69676311
I Am Legend,585410052,150000000,"Drama, Science Fiction, Thriller",12/12/2007,en,435410052
Saving Private Ryan,481840909,70000000,"Drama, History, War",7/24/1998,en,411840909
Captain Marvel,1131416446,152000000,"Action, Adventure, Science Fiction",3/6/2019,en,979416446
Baby Driver,226945087,34000000,"Action, Crime",6/28/2017,en,192945087
Schindler's List,321365567,22000000,"Drama, History, War",12/15/1993,en,299365567
Return of the Jedi,572700000,32350000,"Adventure, Action, Science Fiction",5/25/1983,en,540350000
